Date ,Rain (mm),Temp Max( C ),Temp Min ( C ),PM2.5,PM10,NO2,CO,SO2,O3,AQI,AQI_Bucket
02-01-2015,3.055893183,27.99490929,18.43782043,171.6,117.7,12.4,1.26,79.7,164.3,489.7,Good
03-01-2015,0.774082303,28.56971169,16.91874313,22.5,317.5,62.4,0,59.7,49.8,243.3,Moderate
04-01-2015,0,28.93222809,17.23576164,269.3,69.9,107.3,7.44,12.8,119.4,148.5,Severe
05-01-2015,0,29.05039406,16.88950539,56.1,295.7,146.1,6.47,59.1,109.1,423.3,Satisfactory
06-01-2015,0,28.85260773,16.59200478,263.8,321.1,40.5,7.3,56.2,14.2,119.5,Satisfactory
07-01-2015,0,27.52138138,16.65264702,432.2,500.7,80.8,0.34,90.4,113.1,120.7,Poor
08-01-2015,0,28.65725327,15.75848103,122.9,583.2,146.3,2.65,71.2,78.8,421.8,Poor
09-01-2015,0,27.91136742,16.98993874,409.8,237.9,41.6,4.41,6.1,66.2,487.3,Poor
10-01-2015,0,27.53724098,17.0734005,77.8,270.7,66.6,2.06,73.2,159.6,8,Good
11-01-2015,0,27.71725845,14.54225731,449.3,460.8,2.8,8.78,26.9,76.1,275.2,Severe
12-01-2015,0,27.7887001,12.03974152,470.4,237.2,49.5,8.68,92.9,158,418.5,Severe
13-01-2015,0,27.18821144,12.25182533,138.2,431.8,46.9,6.57,70.2,128.9,69.7,Very Poor
14-01-2015,0,27.90899658,12.07524204,146.7,59.5,32.7,1,50.5,101.1,100.7,Satisfactory
15-01-2015,0,28.02951622,12.12127113,487,70.9,53.5,6.43,75.5,24,374,Good
16-01-2015,0,27.58713341,12.9493618,415.9,429.8,140.1,1.46,30.9,135.4,499.4,Satisfactory
17-01-2015,0,28.41831779,14.05251026,198.2,108.9,102.7,9.48,8.2,59.1,261.6,Severe
18-01-2015,0,28.23962021,15.3080101,368.9,476.1,90.5,6.73,41.4,5.3,3.8,Moderate
19-01-2015,0,28.29878235,14.98863983,14,456.9,112.2,8.68,11.9,27.3,104.3,Good
20-01-2015,0,27.98480797,15.01830482,306.8,78,115.6,3.47,0.8,140.9,273.1,Poor
21-01-2015,0,27.80418396,15.84802628,465.8,185.2,75.5,6.13,49.3,127.4,38.1,Poor
22-01-2015,0,27.67701912,16.39917183,21.2,271.6,46.7,1.16,40.6,183.6,384.3,Poor
23-01-2015,0,28.92406464,15.45341587,180.2,53,132.1,6.29,2.7,125.7,22.1,Satisfactory
24-01-2015,0,28.39789581,15.16466045,469,122.7,104.5,6.35,84.1,151.6,286.9,Good
25-01-2015,0,27.66048431,15.9355793,172.9,579.7,21.4,6.28,50.8,159.2,105.6,Moderate
26-01-2015,0,29.34758186,15.89391422,219.2,22.7,121.4,6.53,95.3,58.6,390.6,Severe
27-01-2015,0,28.75968361,15.1222353,274.2,119.4,34.3,0.31,79.3,20.4,319.9,Good
28-01-2015,0,28.73852921,14.78083611,469,203.6,120.8,4.59,65.7,110.2,78.7,Satisfactory
29-01-2015,0,28.23018456,15.73021126,447.1,152.5,131.8,8.66,30.7,172.3,92.9,Severe
30-01-2015,0,28.67421722,16.44193077,258.8,95.3,77.9,6.48,16.4,150.5,232,Good
31-01-2015,0,28.33229446,17.15241241,17.6,418.7,62.8,8.19,85.4,94.4,493.9,Very Poor
01-02-2015,0,29.68089485,16.46991158,327.5,71.1,105.1,6.85,4.4,28.9,432.3,Satisfactory
02-02-2015,0,29.14583969,16.01196098,245.6,397.9,91.1,1.84,59,6.3,211.4,Very Poor
03-02-2015,0,29.06811333,16.06773949,265.2,8.8,97.5,1.71,41.5,85.7,480.9,Moderate
04-02-2015,0,28.95781708,15.33127594,413.9,371,37.8,8.55,56.1,132,235.7,Very Poor
05-02-2015,0,28.88178253,15.27677727,76.2,253.1,88.6,4.31,46.3,79.7,377.2,Good
06-02-2015,0,29.44367981,15.61357498,73.8,57.2,37.9,1.48,47.3,86.3,6,Moderate
07-02-2015,0,30.02558136,16.15719604,56.8,201.4,121,9.2,20.6,48.5,93.3,Good
08-02-2015,0,30.32679176,15.82482338,375.1,280.7,115.6,2.47,4,71.1,173.3,Satisfactory
09-02-2015,0,30.36253929,16.16440582,287.3,346.6,114.7,4.48,52.6,140.8,205,Severe
10-02-2015,0,30.27229691,16.10265923,270,331.6,4.6,9.34,63.3,174.6,64.4,Severe
11-02-2015,0,29.80299568,15.05924416,419.1,43.5,35.5,4.99,22.3,40.9,440.1,Poor
12-02-2015,0,30.20348358,15.77819443,127.8,526.8,134,1.79,91.1,14.8,367.5,Poor
13-02-2015,0,30.78787804,16.35851669,318.1,363.3,121,7.97,66.8,172.9,355.9,Poor
14-02-2015,0,31.17839241,15.95816612,98.7,170.3,102.2,1.24,98.6,72.7,330.6,Moderate
15-02-2015,0,32.44211197,16.73029137,308.9,324.1,77.5,5.28,91.4,124.7,75,Poor
16-02-2015,0,32.34502792,16.03963089,148.2,233,70.1,2.2,77.6,46.2,52.2,Poor
17-02-2015,0,32.42525864,15.9914484,63,58.1,61.6,8.63,6,86.4,274.3,Very Poor
18-02-2015,0,32.29864883,15.7089262,475.1,186.4,15.7,5.58,99.3,137.5,125.1,Moderate
19-02-2015,0,32.535923,15.79814053,355.2,376.8,91.9,2.71,52,31.8,340.5,Severe
20-02-2015,0,32.23426819,16.85127068,460,531,40,3.97,46.6,58.9,290.1,Good
21-02-2015,0,31.43278313,16.00256157,345,217.8,115.1,1.17,32.2,174.7,110.2,Good
22-02-2015,0,31.48150444,17.31552696,438,510.7,43.7,3.85,23.8,30.4,253.4,Poor
23-02-2015,0,31.51310539,16.59293747,353.4,176.1,109.3,4.88,5.8,51.5,362.5,Moderate
24-02-2015,0,31.31022835,15.61790085,159.9,326.1,33,8.86,27.4,139.6,13.2,Good
25-02-2015,0,31.71236038,14.3924017,39.4,414.2,35.7,6.17,31.8,96.6,95.9,Poor
26-02-2015,0,32.33840179,15.56734657,448.5,581.4,60.2,0.18,13.7,44.3,227.2,Very Poor
27-02-2015,0,32.75014496,15.65161991,356,523.7,125.4,1.17,63.9,75.1,492.4,Poor
28-02-2015,0,32.66482544,17.77482986,463.2,535.2,121,0.31,33.7,149.2,160.5,Satisfactory
01-03-2015,0,31.96430588,18.7666378,234.1,286.6,66.1,8.78,93.3,45,408.3,Good
02-03-2015,24.17872047,31.86185837,19.8051281,320.5,471.2,100.4,0.47,64.8,154.7,464.8,Moderate
03-03-2015,0,31.66181183,20.0579319,197.2,61.7,13.7,9.96,25.7,172.7,123.4,Severe
04-03-2015,3.540276051,31.03940201,19.63421631,147.2,33.3,59.6,0.39,57.5,126.9,225.8,Severe
05-03-2015,1.901104331,31.5792923,19.10254669,196.7,278.3,44.4,6.02,25,108.7,12.5,Moderate
06-03-2015,4.543192863,32.80239868,19.39669991,217.6,545.8,144.5,6.82,5.4,120.2,275.8,Very Poor
07-03-2015,0,32.04489517,20.80179214,33.5,391.5,8,9.8,51.1,132.4,425.8,Very Poor
08-03-2015,0.738642514,32.16260147,19.96158409,72.3,384.2,100.8,6.22,47.3,198.9,204,Poor
09-03-2015,0,31.87285614,19.99792862,314.7,280,93.2,5.68,14.4,177.3,10.2,Severe
10-03-2015,0,31.39858627,19.52042389,362.7,110.1,83.8,8.65,55.8,197.9,498,Good
11-03-2015,0,32.13270569,19.51852798,361.6,470.5,141.8,6.89,92.3,95.9,472.6,Poor
12-03-2015,0,32.07057953,16.27337265,5.3,306.2,78.5,2.85,65.6,157.4,246.5,Very Poor
13-03-2015,0,32.06686783,17.93198395,156.2,558.5,8.3,8.97,90.2,136.9,183.3,Very Poor
14-03-2015,0,32.76823044,18.67119598,496.9,129.7,58.1,2.46,33.6,16.9,316.6,Severe
15-03-2015,0,33.10324478,18.47232056,60.6,186,59.1,1.03,48.5,102.2,391.4,Severe
16-03-2015,0,32.47507477,20.17064285,50,60.8,3.3,1.86,45.1,44,486.2,Poor
17-03-2015,0,32.97867966,20.62500191,493.3,567.3,8.9,2.08,57.4,85.2,157.5,Poor
18-03-2015,0,33.32774353,19.50003242,220.7,322.2,58.4,6.57,58.6,123.4,289.5,Moderate
19-03-2015,0,34.4528656,18.91146469,112.7,466.3,100.2,5.25,99.6,33.1,31.3,Moderate
20-03-2015,0,34.46467972,19.48359108,246.6,489,139.9,7.54,13.5,133.1,360.9,Poor
21-03-2015,0,34.93384933,18.90634727,17.5,395.7,143.2,9.41,1,69,84.1,Severe
22-03-2015,0,35.23460388,18.71237564,174.8,205,103.5,4.56,54.4,193.1,440.6,Severe
23-03-2015,0,35.94190979,19.21516991,24.7,417.5,149.7,1.61,82.5,120.8,81.5,Moderate
24-03-2015,0,35.58087158,21.06769371,331.9,16.8,118.1,2.06,30.2,20.4,299.1,Very Poor
25-03-2015,0,35.64282608,21.5776844,428.4,588.4,57.9,7.08,71.4,189.6,80.3,Satisfactory
26-03-2015,0,35.33153534,21.1160202,46.1,358.7,148.6,2.82,13.6,64.3,380.6,Moderate
27-03-2015,0,34.59337616,21.03808212,106.4,595.3,26.1,9.66,34.4,79.5,160.2,Poor
28-03-2015,0,34.39568329,21.00074387,200.3,304.6,132,1.29,16.2,36,41.5,Satisfactory
29-03-2015,0,34.80729294,20.50259018,371.3,579.8,116.1,6.35,51.5,54.9,7.1,Good
30-03-2015,0,35.01164246,20.48495674,100.6,241.9,10,6.28,45.1,24.8,202.1,Very Poor
31-03-2015,0,34.33091354,21.25583839,328.8,213.9,73.1,0.62,16.8,43.2,201.8,Good
01-04-2015,0,32.9917984,22.47258377,498.1,421.4,114.7,6.65,23.6,117.3,490.5,Good
02-04-2015,0.230374545,33.92299271,21.98843384,89.9,41.4,27.1,3.06,45.8,8.9,67.7,Poor
03-04-2015,0,35.0752449,22.25726509,303.2,328.1,92,8.15,30.3,80.1,16.6,Very Poor
04-04-2015,0,35.20936966,22.91194916,289,390.8,97,2.89,7.8,60.7,215.4,Severe
05-04-2015,0,35.73764038,22.05849266,62.6,454.7,133.9,9.23,29.9,118.6,435.6,Poor
06-04-2015,0,36.42903137,22.81832886,244.9,38.6,87.3,4.45,5.8,45.3,181.8,Satisfactory
07-04-2015,0,36.1347084,23.70661163,454.3,212.3,59.6,6.86,71,67.6,392.7,Moderate
08-04-2015,0,35.68124771,23.29013824,134.9,388.6,143.7,0.65,3.1,70.9,455.1,Very Poor
09-04-2015,0,34.78150558,23.45611382,148.1,365.9,57.3,9.5,91.2,197,96.6,Good
10-04-2015,0,34.86303711,22.67636681,412.4,227.8,34.7,8.77,3.1,97.7,453.9,Very Poor
11-04-2015,0,34.86424255,23.12128448,421.2,90.5,105,3.64,78.8,56.8,128.7,Very Poor
12-04-2015,5.068462849,33.54538345,22.12550163,446.6,551.3,18.8,3.25,90.8,37.3,408,Severe
13-04-2015,5.445401669,31.58598137,21.29319763,86.7,460.4,83.4,7.65,21.2,144.1,112.3,Moderate
14-04-2015,3.247509718,30.13647079,19.80300713,331.5,434.7,147,6.58,14.2,46,74.3,Severe
15-04-2015,5.299416065,30.94059944,18.69765091,121,349.1,108.5,0.5,56.6,70.6,397.1,Satisfactory
16-04-2015,12.68167019,30.16627121,19.56880379,79.2,575,53.8,7.97,83.9,93.7,387.8,Moderate
17-04-2015,0.322513282,31.11247826,19.47313499,365.7,54,122.2,1.24,29.9,75.4,478.1,Good
18-04-2015,0,31.81363297,20.64812279,225.7,575.8,77.6,2.54,87.5,64.4,146,Poor
19-04-2015,0.115187272,32.75815964,19.88062096,72.7,39.3,9.8,4.2,7.3,168.2,360.4,Good
20-04-2015,0,33.86246872,20.68092346,431,350.1,15.2,3.51,12.7,81.2,69.2,Very Poor
21-04-2015,0,33.6936264,21.25677109,140.6,23.5,20.8,3.08,79.7,169.6,44.1,Good
22-04-2015,0,33.79347992,22.40646172,2.7,68.2,66.1,8.01,98.5,144.2,321.2,Good
23-04-2015,0,34.36868668,22.95263672,246.3,114.3,10.6,9.33,3.9,84.5,138.1,Poor
24-04-2015,0,34.50461578,23.31840897,491.5,415.3,11.8,7.74,15.4,107.2,212.4,Moderate
25-04-2015,1.854905486,32.66804504,19.79676056,466.5,303.7,129.7,8.77,63.9,14.1,448.5,Moderate
26-04-2015,0,31.76144409,20.59207344,104.3,538.7,70.5,4.32,66.3,72.7,67,Severe
27-04-2015,0,31.63913536,20.30794716,285.2,420.5,7.8,0.57,8.6,54.1,273.6,Good
28-04-2015,0,32.7988472,21.10585785,18.2,554.7,48.9,8.76,68.2,48.6,185.8,Poor
29-04-2015,0,33.5658226,21.80589294,270.6,433.1,103.8,5.84,77.9,79.7,40.6,Poor
30-04-2015,4.577999592,34.90894699,22.18615723,328.3,14.8,121,4.29,39.4,141,395.5,Very Poor
01-05-2015,0.836575866,34.53736877,22.33348656,326.2,133.9,103.5,9.63,96.1,143.9,397.5,Poor
02-05-2015,0,35.04472733,21.92960167,55.2,545.8,144.7,4.96,67.8,81.6,338,Very Poor
03-05-2015,0,34.89772034,22.37215614,144.9,473.6,85,3.84,35.9,104.2,261.1,Good
04-05-2015,1.253009319,33.85736847,21.60653114,267.7,205.7,97.4,1.4,0.1,173.8,363.5,Severe
05-05-2015,0.531115592,33.38972855,22.71805,498.7,77.3,114.3,0.79,39.4,174.7,236.3,Satisfactory
06-05-2015,0,32.97124863,21.73156929,449.4,173.3,22.7,3.47,27.3,27.7,59.7,Good
07-05-2015,0,33.03214264,22.35384178,436.4,105.4,85,8.36,2.3,170.4,416.8,Good
08-05-2015,2.027479887,33.47644043,21.83670235,171.6,370.3,100.5,8.12,77.1,93.6,245.6,Good
09-05-2015,1.850248456,34.46544266,22.46431732,285.6,330.8,122.6,0.81,98.7,51.6,386.8,Good
10-05-2015,0,33.63979721,22.78849602,25.4,76.7,27.6,1.8,48.5,177.8,119.5,Satisfactory
11-05-2015,0.920927286,32.50222397,23.53479385,285.4,436.6,100.3,3.13,13.2,67.1,409.1,Poor
12-05-2015,0,32.84154892,23.04075241,264.2,144.3,147.1,2.59,65.5,122.5,157.8,Moderate
13-05-2015,0,32.21660614,22.31265259,474.4,433,56.1,9,95.2,41.3,80.5,Severe
14-05-2015,6.048175812,30.32928848,22.2338028,260.6,471.1,136.5,5,35.7,46.4,163.2,Moderate
15-05-2015,4.561829567,30.85513878,22.05926514,354.6,582.1,120.8,2.28,76.2,185,421,Satisfactory
16-05-2015,0,31.48044014,22.30909157,14.5,529.5,40.6,0.11,16.9,26.9,370.8,Satisfactory
