City,Date,PM2.5,PM10,NO2,CO,SO2,O3,AQI,AQI_Bucket
Bangalore,01-01-2015,171.6,117.7,12.4,1.26,79.7,164.3,489.7,Good
Bangalore,02-01-2015,22.5,317.5,62.4,0,59.7,49.8,243.3,Moderate
Bangalore,03-01-2015,269.3,69.9,107.3,7.44,12.8,119.4,148.5,Severe
Bangalore,04-01-2015,56.1,295.7,146.1,6.47,59.1,109.1,423.3,Satisfactory
Bangalore,05-01-2015,263.8,321.1,40.5,7.3,56.2,14.2,119.5,Satisfactory
Bangalore,06-01-2015,432.2,500.7,80.8,0.34,90.4,113.1,120.7,Poor
Bangalore,07-01-2015,122.9,583.2,146.3,2.65,71.2,78.8,421.8,Poor
Bangalore,08-01-2015,409.8,237.9,41.6,4.41,6.1,66.2,487.3,Poor
Bangalore,09-01-2015,77.8,270.7,66.6,2.06,73.2,159.6,8,Good
Bangalore,10-01-2015,449.3,460.8,2.8,8.78,26.9,76.1,275.2,Severe
Bangalore,11-01-2015,470.4,237.2,49.5,8.68,92.9,158,418.5,Severe
Bangalore,12-01-2015,138.2,431.8,46.9,6.57,70.2,128.9,69.7,Very Poor
Bangalore,13-01-2015,146.7,59.5,32.7,1,50.5,101.1,100.7,Satisfactory
Bangalore,14-01-2015,487,70.9,53.5,6.43,75.5,24,374,Good
Bangalore,15-01-2015,415.9,429.8,140.1,1.46,30.9,135.4,499.4,Satisfactory
Bangalore,16-01-2015,198.2,108.9,102.7,9.48,8.2,59.1,261.6,Severe
Bangalore,17-01-2015,368.9,476.1,90.5,6.73,41.4,5.3,3.8,Moderate
Bangalore,18-01-2015,14,456.9,112.2,8.68,11.9,27.3,104.3,Good
Bangalore,19-01-2015,306.8,78,115.6,3.47,0.8,140.9,273.1,Poor
Bangalore,20-01-2015,465.8,185.2,75.5,6.13,49.3,127.4,38.1,Poor
Bangalore,21-01-2015,21.2,271.6,46.7,1.16,40.6,183.6,384.3,Poor
Bangalore,22-01-2015,180.2,53,132.1,6.29,2.7,125.7,22.1,Satisfactory
Bangalore,23-01-2015,469,122.7,104.5,6.35,84.1,151.6,286.9,Good
Bangalore,24-01-2015,172.9,579.7,21.4,6.28,50.8,159.2,105.6,Moderate
