Date,Rain (mm)
01-01-2015,0.86
02-01-2015,0.95
03-01-2015,0.58
04-01-2015,0.05
05-01-2015,0
06-01-2015,0
07-01-2015,0
08-01-2015,0
09-01-2015,0
10-01-2015,0
11-01-2015,0
12-01-2015,0
13-01-2015,0
14-01-2015,0
15-01-2015,0
16-01-2015,0
17-01-2015,0
18-01-2015,0
19-01-2015,0
20-01-2015,0
21-01-2015,0.06
22-01-2015,0
23-01-2015,0
24-01-2015,0
25-01-2015,0
26-01-2015,0
27-01-2015,0
28-01-2015,0
29-01-2015,0
30-01-2015,0
31-01-2015,0
01-02-2015,0
02-02-2015,0
03-02-2015,0
04-02-2015,0
05-02-2015,0
06-02-2015,0
07-02-2015,0
08-02-2015,0
09-02-2015,0
10-02-2015,0
11-02-2015,0
12-02-2015,0
13-02-2015,0
14-02-2015,0
15-02-2015,0
16-02-2015,0
17-02-2015,0
18-02-2015,0
19-02-2015,0.01
20-02-2015,0.11
21-02-2015,0
22-02-2015,0
23-02-2015,0
24-02-2015,0
25-02-2015,0
26-02-2015,0
27-02-2015,0
28-02-2015,0
01-03-2015,3.31
02-03-2015,1.15
03-03-2015,0.78
04-03-2015,1.23
05-03-2015,0.59
06-03-2015,0.47
07-03-2015,3.14
08-03-2015,1.26
09-03-2015,7.31
10-03-2015,3.89
11-03-2015,0.27
12-03-2015,0
13-03-2015,0
14-03-2015,0
15-03-2015,0.34
16-03-2015,1.08
17-03-2015,0.32
18-03-2015,0.02
19-03-2015,0.03
20-03-2015,0
21-03-2015,0
22-03-2015,0
23-03-2015,0
24-03-2015,0.05
25-03-2015,0.03
26-03-2015,0.04
27-03-2015,0.09
28-03-2015,0
29-03-2015,0.08
30-03-2015,0.03
31-03-2015,0.94
01-04-2015,2.1
02-04-2015,1.24
03-04-2015,0.22
04-04-2015,0.41
05-04-2015,0
06-04-2015,0.29
07-04-2015,0.64
08-04-2015,0.37
09-04-2015,1.26
10-04-2015,1.01
11-04-2015,5.03
12-04-2015,6.82
13-04-2015,10.14
14-04-2015,4.85
15-04-2015,2.17
16-04-2015,1.96
17-04-2015,2.76
18-04-2015,1.11
19-04-2015,0.11
20-04-2015,0.26
21-04-2015,0.09
22-04-2015,3.2
23-04-2015,2.01
24-04-2015,9.53
25-04-2015,2.48
26-04-2015,2.88
27-04-2015,1.8
28-04-2015,0.41
29-04-2015,1.5
30-04-2015,3.02
01-05-2015,1.31
02-05-2015,0.63
03-05-2015,4.31
04-05-2015,0.46
05-05-2015,4.21
06-05-2015,2.57
07-05-2015,2.73
08-05-2015,2.81
09-05-2015,0.59
10-05-2015,1.69
11-05-2015,1.05
12-05-2015,3.15
13-05-2015,6.94
14-05-2015,5.83
15-05-2015,2.14
16-05-2015,8.14
17-05-2015,8.66
18-05-2015,6.14
19-05-2015,4.17
20-05-2015,2.96
21-05-2015,0.16
22-05-2015,0.33
23-05-2015,0.03
24-05-2015,0.13
25-05-2015,0.16
26-05-2015,0.03
27-05-2015,0.01
28-05-2015,6.14
29-05-2015,0.16
30-05-2015,14.85
31-05-2015,0.31
01-06-2015,12.81
02-06-2015,2.21
03-06-2015,4.34
04-06-2015,2.21
05-06-2015,8.32
06-06-2015,1.93
07-06-2015,1.86
08-06-2015,2.32
09-06-2015,3.15
10-06-2015,5.87
11-06-2015,1.04
12-06-2015,5.49
13-06-2015,4.18
14-06-2015,6.4
15-06-2015,4.36
16-06-2015,3.74
17-06-2015,2.62
18-06-2015,5.23
19-06-2015,5.9
20-06-2015,13.59
21-06-2015,16.12
22-06-2015,20.45
23-06-2015,11.08
24-06-2015,12.79
25-06-2015,11.49
26-06-2015,12.02
27-06-2015,4.08
28-06-2015,2.5
29-06-2015,1.17
30-06-2015,3.7
01-07-2015,1.84
02-07-2015,3.2
03-07-2015,1.81
04-07-2015,1.43
05-07-2015,0.61
06-07-2015,0.29
07-07-2015,0.36
08-07-2015,2.63
09-07-2015,5.1
10-07-2015,8.79
11-07-2015,3.68
12-07-2015,3.69
13-07-2015,2.13
14-07-2015,1.29
15-07-2015,9.14
16-07-2015,3.34
17-07-2015,4
18-07-2015,8.98
19-07-2015,8.44
20-07-2015,18.42
21-07-2015,4.1
22-07-2015,2.61
23-07-2015,4
24-07-2015,4.08
25-07-2015,2.03
26-07-2015,3.23
27-07-2015,3.94
28-07-2015,2.31
29-07-2015,1.02
30-07-2015,0.82
31-07-2015,2.87
01-08-2015,5.41
02-08-2015,5.22
03-08-2015,2.05
04-08-2015,3.79
05-08-2015,5.04
06-08-2015,6.97
07-08-2015,5.61
08-08-2015,7.14
09-08-2015,4.16
10-08-2015,4.15
11-08-2015,4.78
12-08-2015,6.09
13-08-2015,6.05
14-08-2015,3.51
15-08-2015,2.33
16-08-2015,4.68
17-08-2015,5.89
18-08-2015,4.25
19-08-2015,6.24
20-08-2015,5.44
