Date,Rain (mm),Temp Max( C ),Temp Min ( C )
02-01-2015,3.055893183,27.99490929,18.43782043
03-01-2015,0.774082303,28.56971169,16.91874313
04-01-2015,0,28.93222809,17.23576164
05-01-2015,0,29.05039406,16.88950539
06-01-2015,0,28.85260773,16.59200478
07-01-2015,0,27.52138138,16.65264702
08-01-2015,0,28.65725327,15.75848103
09-01-2015,0,27.91136742,16.98993874
10-01-2015,0,27.53724098,17.0734005
11-01-2015,0,27.71725845,14.54225731
12-01-2015,0,27.7887001,12.03974152
13-01-2015,0,27.18821144,12.25182533
14-01-2015,0,27.90899658,12.07524204
15-01-2015,0,28.02951622,12.12127113
16-01-2015,0,27.58713341,12.9493618
17-01-2015,0,28.41831779,14.05251026
18-01-2015,0,28.23962021,15.3080101
19-01-2015,0,28.29878235,14.98863983
20-01-2015,0,27.98480797,15.01830482
21-01-2015,0,27.80418396,15.84802628
22-01-2015,0,27.67701912,16.39917183
23-01-2015,0,28.92406464,15.45341587
24-01-2015,0,28.39789581,15.16466045
25-01-2015,0,27.66048431,15.9355793
26-01-2015,0,29.34758186,15.89391422
27-01-2015,0,28.75968361,15.1222353
28-01-2015,0,28.73852921,14.78083611
29-01-2015,0,28.23018456,15.73021126
30-01-2015,0,28.67421722,16.44193077
31-01-2015,0,28.33229446,17.15241241
01-02-2015,0,29.68089485,16.46991158
02-02-2015,0,29.14583969,16.01196098
03-02-2015,0,29.06811333,16.06773949
04-02-2015,0,28.95781708,15.33127594
05-02-2015,0,28.88178253,15.27677727
06-02-2015,0,29.44367981,15.61357498
07-02-2015,0,30.02558136,16.15719604
08-02-2015,0,30.32679176,15.82482338
09-02-2015,0,30.36253929,16.16440582
10-02-2015,0,30.27229691,16.10265923
11-02-2015,0,29.80299568,15.05924416
12-02-2015,0,30.20348358,15.77819443
13-02-2015,0,30.78787804,16.35851669
14-02-2015,0,31.17839241,15.95816612
15-02-2015,0,32.44211197,16.73029137
16-02-2015,0,32.34502792,16.03963089
17-02-2015,0,32.42525864,15.9914484
18-02-2015,0,32.29864883,15.7089262
19-02-2015,0,32.535923,15.79814053
20-02-2015,0,32.23426819,16.85127068
21-02-2015,0,31.43278313,16.00256157
22-02-2015,0,31.48150444,17.31552696
23-02-2015,0,31.51310539,16.59293747
24-02-2015,0,31.31022835,15.61790085
25-02-2015,0,31.71236038,14.3924017
26-02-2015,0,32.33840179,15.56734657
27-02-2015,0,32.75014496,15.65161991
28-02-2015,0,32.66482544,17.77482986
01-03-2015,0,31.96430588,18.7666378
02-03-2015,24.17872047,31.86185837,19.8051281
03-03-2015,0,31.66181183,20.0579319
04-03-2015,3.540276051,31.03940201,19.63421631
05-03-2015,1.901104331,31.5792923,19.10254669
06-03-2015,4.543192863,32.80239868,19.39669991
07-03-2015,0,32.04489517,20.80179214
08-03-2015,0.738642514,32.16260147,19.96158409
09-03-2015,0,31.87285614,19.99792862
10-03-2015,0,31.39858627,19.52042389
11-03-2015,0,32.13270569,19.51852798
12-03-2015,0,32.07057953,16.27337265
13-03-2015,0,32.06686783,17.93198395
14-03-2015,0,32.76823044,18.67119598
15-03-2015,0,33.10324478,18.47232056
16-03-2015,0,32.47507477,20.17064285
17-03-2015,0,32.97867966,20.62500191
18-03-2015,0,33.32774353,19.50003242
19-03-2015,0,34.4528656,18.91146469
20-03-2015,0,34.46467972,19.48359108
21-03-2015,0,34.93384933,18.90634727
22-03-2015,0,35.23460388,18.71237564
23-03-2015,0,35.94190979,19.21516991
24-03-2015,0,35.58087158,21.06769371
25-03-2015,0,35.64282608,21.5776844
26-03-2015,0,35.33153534,21.1160202
27-03-2015,0,34.59337616,21.03808212
28-03-2015,0,34.39568329,21.00074387
29-03-2015,0,34.80729294,20.50259018
30-03-2015,0,35.01164246,20.48495674
31-03-2015,0,34.33091354,21.25583839
01-04-2015,0,32.9917984,22.47258377
02-04-2015,0.230374545,33.92299271,21.98843384
03-04-2015,0,35.0752449,22.25726509
04-04-2015,0,35.20936966,22.91194916
05-04-2015,0,35.73764038,22.05849266
06-04-2015,0,36.42903137,22.81832886
07-04-2015,0,36.1347084,23.70661163
08-04-2015,0,35.68124771,23.29013824
09-04-2015,0,34.78150558,23.45611382
10-04-2015,0,34.86303711,22.67636681
11-04-2015,0,34.86424255,23.12128448
12-04-2015,5.068462849,33.54538345,22.12550163
13-04-2015,5.445401669,31.58598137,21.29319763
14-04-2015,3.247509718,30.13647079,19.80300713
15-04-2015,5.299416065,30.94059944,18.69765091
16-04-2015,12.68167019,30.16627121,19.56880379
17-04-2015,0.322513282,31.11247826,19.47313499
18-04-2015,0,31.81363297,20.64812279
19-04-2015,0.115187272,32.75815964,19.88062096
20-04-2015,0,33.86246872,20.68092346
21-04-2015,0,33.6936264,21.25677109
22-04-2015,0,33.79347992,22.40646172
23-04-2015,0,34.36868668,22.95263672
24-04-2015,0,34.50461578,23.31840897
25-04-2015,1.854905486,32.66804504,19.79676056
26-04-2015,0,31.76144409,20.59207344
27-04-2015,0,31.63913536,20.30794716
28-04-2015,0,32.7988472,21.10585785
29-04-2015,0,33.5658226,21.80589294
30-04-2015,4.577999592,34.90894699,22.18615723
01-05-2015,0.836575866,34.53736877,22.33348656
02-05-2015,0,35.04472733,21.92960167
03-05-2015,0,34.89772034,22.37215614
04-05-2015,1.253009319,33.85736847,21.60653114
05-05-2015,0.531115592,33.38972855,22.71805
06-05-2015,0,32.97124863,21.73156929
07-05-2015,0,33.03214264,22.35384178
08-05-2015,2.027479887,33.47644043,21.83670235
09-05-2015,1.850248456,34.46544266,22.46431732
10-05-2015,0,33.63979721,22.78849602
11-05-2015,0.920927286,32.50222397,23.53479385
12-05-2015,0,32.84154892,23.04075241
13-05-2015,0,32.21660614,22.31265259
14-05-2015,6.048175812,30.32928848,22.2338028
15-05-2015,4.561829567,30.85513878,22.05926514
16-05-2015,0,31.48044014,22.30909157
17-05-2015,24.46932983,29.42015457,21.63077736
18-05-2015,20.31520462,31.46636963,21.09107399
